input_item_type,input_item_category,input_number_to_generate,output_item_name,output_item_rating,output_item_num_reviews
Toys,Hobbies,12,Revell 1:350 Scale Battleship Bismarck,5.0 out of 5 stars,12
Toys,Hobbies,12,Churchill Mk.VII British Infantry Tank - 1:35 Scale Military - Tamiya,5.0 out of 5 stars,15
Toys,Hobbies,12,LEGO Ninjago 70504: Garmatron,4.9 out of 5 stars,40
Toys,Hobbies,12,Bigjigs Rail Fruit and Veg Train,4.9 out of 5 stars,11
Toys,Hobbies,12,GoolRC T10 Mini Micro Drone 2.4G 4CH 6-Axis Gyro RC Quadcopter UFO with 3D Flips CF Mode Auto-return-Orange,4.9 out of 5 stars,27
Toys,Hobbies,12,Hornby Railroad 00 Gauge LNER Class A4 Gadwell with TTS Sound Steam Locomotive,4.9 out of 5 stars,12
Toys,Hobbies,12,Transformers Grimlock Track Set,4.9 out of 5 stars,14
Toys,Hobbies,12,"Orcrist 36"" Prop Replica The Hobbit The Noble Collection",4.9 out of 5 stars,19
Toys,Hobbies,12,Branching Out City of London Wooden Train Set,4.9 out of 5 stars,14
Toys,Hobbies,12,Hornby 2014 Catalogue,4.9 out of 5 stars,15
Toys,Hobbies,12,Military Minatures German Hanomag Sd.kfz. 251/1 - 1:35 Scale Military - Tamiya,4.9 out of 5 stars,27
Toys,Hobbies,12,LEGO Galaxy Squad 70708: Hive Crawler,4.9 out of 5 stars,15
